stream_id;channel_name;tivione_epg_id;epgshare_id;score;method
1172136;┃UK┃ SKY HISTORY 2 HD;skyhistory2.uk;Sky.History2.uk;1.000;EXACT_STRICT
1172138;┃UK┃ SKY CRIME HD;skycrime.uk;Sky.Crime.HD.uk;1.000;EXACT_STRICT
1172110;┃UK┃ DISCOVERY HD;discoverychannel.uk;Discovery.HD.uk;1.000;EXACT_STRICT
1172111;┃UK┃ DISCOVERY +1;discoverychannelplus1.uk;Discovery+1.uk;1.000;EXACT_STRICT
1172120;┃UK┃ NAT GEO HD;natgeo.uk;Nat.Geo.HD.uk;1.000;EXACT_STRICT
1172121;┃UK┃ NAT GEO WILD HD;natgeowild.uk;NatGeoWild.HD.uk;1.000;FUZZY_STRICT
1172125;┃UK┃ ANIMAL PLANET HD;animalplanet.uk;Animal.Planet.uk;1.000;EXACT_STRICT
1172123;┃UK┃ TLC;tlc.uk;TLC.HD.uk;1.000;EXACT_STRICT
1172124;┃UK┃ TLC +1;tlcplus1.uk;TLC+1.uk;1.000;EXACT_STRICT
1172130;┃UK┃ HGTV;hgtv.uk;HGTV.uk;1.000;EXACT_STRICT
1172131;┃UK┃ HGTV +1;hgtvplus1.uk;HGTV+1.uk;1.000;EXACT_STRICT
1172128;┃UK┃ TRAVEL XP;travelxp.uk;Travelxp.uk;1.000;EXACT_STRICT
1172132;┃UK┃ FOOD NETWORK;foodnetwork.uk;Food.Network.uk;1.000;EXACT_STRICT
1172133;┃UK┃ FOOD NETWORK +1;foodnetworkplus1.uk;Food.Netwrk+1.uk;0.960;FUZZY_STRICT
1172145;┃UK┃ SKY DOCUMENTARIES FHD;skydocumentaries.uk;Sky.Documentaries.HD.uk;1.000;EXACT_STRICT
1172147;┃UK┃ SKY NATURE FHD;skynature.uk;Sky.Nature.HD.uk;1.000;EXACT_STRICT
1172146;┃UK┃ SKY HISTORY FHD;skyhistory.uk;Sky.History2.uk;0.952;FUZZY_STRICT
1172140;┃UK┃ DISCOVERY FHD;discoverychannel.uk;Discovery.HD.uk;1.000;EXACT_STRICT
1172148;┃UK┃ SKY CRIME FHD;skycrime.uk;Sky.Crime.HD.uk;1.000;EXACT_STRICT
1172141;┃UK┃ NAT GEO FHD;natgeo.uk;Nat.Geo.HD.uk;1.000;EXACT_STRICT
1172142;┃UK┃ NAT GEO WILD FHD;natgeowild.uk;NatGeoWild.HD.uk;1.000;FUZZY_STRICT
1172144;┃UK┃ TLC FHD;tlc.uk;TLC.HD.uk;1.000;EXACT_STRICT
1172166;┃UK┃ SKY DOCUMENTARIES HEVC HD;skydocumentaries.uk;Sky.Documentaries.HD.uk;1.000;EXACT_STRICT
1172159;┃UK┃ SKY NATURE HEVC HD;skynature.uk;Sky.Nature.HD.uk;1.000;EXACT_STRICT
1172158;┃UK┃ SKY HISTORY  HEVC HD;skyhistory.uk;Sky.History2.uk;0.952;FUZZY_STRICT
1172155;┃UK┃ DISCOVERY HEVC HD;discoverychannel.uk;Discovery.HD.uk;1.000;EXACT_STRICT
1172156;┃UK┃ SKY CRIME HEVC HD;skycrime.uk;Sky.Crime.HD.uk;1.000;EXACT_STRICT
1172153;┃UK┃ NAT GEO HEVC HD;matvnational.uk;Nat.Geo.HD.uk;1.000;EXACT_STRICT
1172152;┃UK┃ NAT GEO WILD HEVC HD;natgeowild.uk;NatGeoWild.HD.uk;1.000;FUZZY_STRICT
1172167;┃UK┃ TLC HEVC HD;tlc.uk;TLC.HD.uk;1.000;EXACT_STRICT
1172163;┃UK┃ SKY DOCUMENTARIES HEVC FHD;skydocumentaries.uk;Sky.Documentaries.HD.uk;1.000;EXACT_STRICT
1172165;┃UK┃ SKY NATURE HEVC FHD;skynature.uk;Sky.Nature.HD.uk;1.000;EXACT_STRICT
1172164;┃UK┃ SKY HISTORY HEVC FHD;skyhistory.uk;Sky.History2.uk;0.952;FUZZY_STRICT
1172162;┃UK┃ SKY CRIME HEVC FHD;skycrime.uk;Sky.Crime.HD.uk;1.000;EXACT_STRICT
1172154;┃UK┃ DISCOVERY HEVC FHD;discoverychannel.uk;Discovery.HD.uk;1.000;EXACT_STRICT
